scenario,catchment,week,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055
RCP26,ALCWTCT3DD,30,0.42,0.056,0.431,0.296,0.394,0.148,0.163,0.413,0.008,0.224,0.001,0.512,0.061,0.001,0.33,0.193,0.351,0.508,0.258,0.172,0.073,0.101,0.056,0.455,0.378,0.029,0.494,0.121,0.336,0.001,0.185,0.01,0.09,0.363,0.341,0.004
RCP26,ALCWTCT3DD,31,0.146,0.057,0.194,0.118,0.05,0.001,0.054,0.023,0.392,0.161,0.001,0.603,0.027,0.001,0.137,0.094,0.363,0.604,0.411,0.081,0.258,0.05,0.101,0.124,0.193,0.016,0.172,0.172,0.198,0.001,0.044,0.553,0.266,0.086,0.021,0.736
RCP26,ALCWTCT3DD,32,0.268,0.001,0.09,0.001,0.001,0.29,0.098,0.068,0.575,0.253,0.645,0.129,0.001,0.133,0.001,0.037,0.284,0.142,0.148,0.198,0.363,0.02,0.253,0.222,0.086,0.001,0.083,0.001,0.001,0.047,0.09,0.001,0.168,0.018,0.066,0.312
RCP26,ALCWTCT3DD,33,0.005,0.311,0.147,0.056,0.095,0.155,0.015,0.123,0.12,0.307,0.447,0.095,0.252,0.078,0.001,0.001,0.198,0.293,0.031,0.013,0.224,0.015,0.046,0.42,0.039,0.003,0.073,0.352,0.136,0.163,0.131,0.303,0.072,0.001,0.001,0.136
RCP26,ALCWTCT3DD,34,0.177,0.123,0.011,0.001,0.05,0.133,0.031,0.001,0.087,0.151,0.254,0.064,0.182,0.092,0.189,0.001,0.231,0.248,0.116,0.364,0.001,0.001,0.001,0.144,0.001,0.001,0.064,0.09,0.151,0.195,0.068,0.001,0.001,0.232,0.061,0.021
RCP26,ALCWTCT3DD,35,0.068,0.001,0.001,0.072,0.189,0.057,0.001,0.001,0.001,0.012,0.121,0.01,0.001,0.001,0.127,0.001,0.114,0.001,0.074,0.098,0.601,0.001,0.001,0.14,0.001,0.001,0.001,0.173,0.015,0.001,0.001,0.248,0.001,0.294,0.001,0.001
RCP26,ALCWTCT3DD,36,0.001,0.078,0.442,0.105,0.283,0.001,0.001,0.001,0.042,0.001,0.019,0.001,0.14,0.025,0.001,0.001,0.001,0.001,0.001,0.224,0.135,0.001,0.216,0.001,0.001,0.001,0.001,0.094,0.001,0.001,0.001,0.263,0.001,0.001,0.001,0.001
RCP26,ALCWTCT3DD,37,0.001,0.077,0.391,0.001,0.313,0.001,0.001,0.227,0.001,0.001,0.001,0.001,0.265,0.001,0.001,0.001,0.001,0.001,0.001,0.171,0.379,0.167,0.233,0.001,0.001,0.001,0.508,0.001,0.001,0.414,0.568,0.001,0.155,0.219,0.222,0.001
RCP26,ALCWTCT3DD,38,0.001,0.001,0.161,0.001,0.001,0.093,0.183,0.001,0.022,0.001,0.001,0.371,0.294,0.001,0.184,0.33,0.142,0.093,0.001,0.099,0.239,0.001,0.412,0.001,0.001,0.001,0.591,0.198,0.12,0.071,0.335,0.14,0.092,0.035,0.078,0.001
RCP26,ALCWTCT3DD,39,0.27,0.001,0.001,0.001,0.001,0.11,0.001,0.338,0.001,0.108,0.157,0.001,0.001,0.001,0.344,0.014,0.171,0.001,0.3,0.001,0.212,0.121,0.001,0.687,0.096,0.001,0.509,0.152,0.536,0.34,0.001,0.001,0.086,0.001,0.743,0.129
