,Date,year,catchment,RCP26,RCP45,RCP85
3949,1981-10-24,1981,ohrid,0.0,0.046,0.0575
3950,1981-10-25,1981,ohrid,0.0,0.0496,0.06225
3951,1981-10-26,1981,ohrid,0.0,0.0508,0.06325
3952,1981-10-27,1981,ohrid,0.0,0.051000000000000004,0.06375
3953,1981-10-28,1981,ohrid,0.0,0.0546,0.06825
3954,1981-10-29,1981,ohrid,0.0,0.0578,0.07225
3955,1981-10-30,1981,ohrid,0.0,0.06,0.07475
3956,1981-10-31,1981,ohrid,0.0,0.059199999999999996,0.074
3957,1981-11-01,1981,ohrid,0.0,0.059399999999999994,0.07375
3958,1981-11-02,1981,ohrid,0.0,0.0598,0.075
3959,1981-11-03,1981,ohrid,0.0,0.0618,0.077
3960,1981-11-04,1981,ohrid,0.0,0.0632,0.07875
3961,1981-11-05,1981,ohrid,0.0,0.0632,0.07875
3962,1981-11-06,1981,ohrid,0.0,0.0648,0.08075
3963,1981-11-07,1981,ohrid,0.0,0.06520000000000001,0.0815
3964,1981-11-08,1981,ohrid,0.0,0.067,0.0835
3965,1981-11-09,1981,ohrid,0.0,0.06720000000000001,0.084
3966,1981-11-10,1981,ohrid,0.0,0.071,0.08875
3967,1981-11-11,1981,ohrid,0.0,0.0744,0.09275
3968,1981-11-12,1981,ohrid,0.0,0.07880000000000001,0.09825
3969,1981-11-13,1981,ohrid,0.0,0.08120000000000001,0.10125
3970,1981-11-14,1981,ohrid,0.0,0.0826,0.10325000000000001
3971,1981-11-15,1981,ohrid,0.0,0.08380000000000001,0.10450000000000001
3972,1981-11-16,1981,ohrid,0.0,0.08520000000000001,0.10650000000000001
3973,1981-11-17,1981,ohrid,0.0,0.0886,0.1105
3974,1981-11-18,1981,ohrid,0.0,0.09759999999999999,0.12175
3975,1981-11-19,1981,ohrid,0.0,0.1022,0.1275
3976,1981-11-20,1981,ohrid,0.0,0.10779999999999998,0.1345
3977,1981-11-21,1981,ohrid,0.0,0.10939999999999998,0.13674999999999998
3978,1981-11-22,1981,ohrid,0.0,0.1116,0.13924999999999998
3979,1981-11-23,1981,ohrid,0.0,0.11259999999999999,0.14075
3980,1981-11-24,1981,ohrid,0.0,0.11480000000000001,0.14350000000000002
3981,1981-11-25,1981,ohrid,0.0,1.5470000000000002,0.14750000000000002
3982,1981-11-26,1981,ohrid,0.0,0.1192,0.14875
3983,1981-11-27,1981,ohrid,0.0,0.1202,0.15
3984,1981-11-28,1981,ohrid,0.0,0.128,0.15975
3985,1981-11-29,1981,ohrid,0.0,0.1336,0.16675
