,Date,year,catchment,REF,RCP26,RCP45,RCP85,RCP26-REF,RCP45-REF,RCP85-REF,RCP26-REF%,RCP45-REF%,RCP85-REF%
8306,2003-09-29,2003,vaudj,43.93550109863281,50.2485,68.8024,45.89975,6.312998901367187,24.866898901367193,1.9642489013671849,14.368787753654722,56.59864637834073,4.470755658294537
8307,2003-09-30,2003,vaudj,45.24399948120117,57.363,66.598,48.70675,12.119000518798828,21.354000518798827,3.4627505187988277,26.785873613658445,47.19742013009126,7.6535022511385105
8308,2003-10-01,2003,vaudj,45.61199951171875,65.3675,65.50120000000001,51.9235,19.755500488281257,19.88920048828126,6.311500488281247,43.31206853408307,43.60519315355004,13.837368578107787
8309,2003-10-02,2003,vaudj,44.940799713134766,71.71600000000001,64.5208,54.2765,26.775200286865243,19.58000028686523,9.335700286865233,59.578824715572885,43.568428714771215,20.773329238590975
8310,2003-10-03,2003,vaudj,44.00669860839844,77.595,63.8578,56.310500000000005,33.58830139160156,19.85110139160156,12.303801391601567,76.3254287500481,45.109272041173035,27.95892848288659
8311,2003-10-04,2003,vaudj,43.10639953613281,80.856,62.743,57.0295,37.74960046386718,19.63660046386719,13.923100463867186,87.57307701429475,45.55379404259296,32.29938156211936
8312,2003-10-05,2003,vaudj,68.23809814453125,80.8995,64.126,59.98025,12.661401855468753,-4.112098144531245,-8.257848144531252,18.554740240050883,-6.0261030954022825,-12.10152153865832
8313,2003-10-06,2003,vaudj,84.20680236816406,82.717,67.68860000000001,65.16325,-1.4898023681640638,-16.518202368164054,-19.043552368164057,-1.7692185503618068,-19.616232778848598,-22.615218524630528
8314,2003-10-07,2003,vaudj,98.32659912109376,95.534,76.87620000000001,77.12475,-2.792599121093758,-21.450399121093753,-21.20184912109376,-2.8401258113834924,-21.815459207204547,-21.562679184075815
8315,2003-10-08,2003,vaudj,140.38890075683594,111.2285,87.5768,89.56400000000001,-29.16040075683594,-52.81210075683593,-50.82490075683593,-20.771158260825715,-37.61843028339572,-36.20293376672879
8316,2003-10-09,2003,vaudj,173.69410705566406,127.2545,97.5276,101.9155,-46.43960705566407,-76.16650705566406,-71.77860705566407,-26.736432135133686,-43.85094482868946,-41.32472210623763
8317,2003-10-10,2003,vaudj,199.2998962402344,140.324,110.0032,117.7,-58.97589624023439,-89.2966962402344,-81.5998962402344,-29.591533840612417,-44.805189528346226,-40.94327080927055
8318,2003-10-11,2003,vaudj,211.3262939453125,149.555,118.6086,128.5635,-61.77129394531249,-92.7176939453125,-82.7627939453125,-29.230292545279674,-43.87418726479261,-39.16350985018932
8319,2003-10-12,2003,vaudj,207.7093963623047,155.382,124.857,136.30800000000002,-52.32739636230468,-82.85239636230469,-71.40139636230467,-25.192599506201784,-39.88861255837766,-34.37562171610194
8320,2003-10-13,2003,vaudj,193.8807983398437,161.353,131.7472,144.90475,-32.527798339843685,-62.1335983398437,-48.976048339843686,-16.777214978673328,-32.047319214630484,-25.260907093025313
8321,2003-10-14,2003,vaudj,177.0926971435547,164.78699999999998,135.2806,149.51125000000002,-12.30569714355471,-41.812097143554695,-27.58144714355467,-6.948732128451056,-23.610288745933445,-15.574581893231107
8322,2003-10-15,2003,vaudj,168.65370178222656,167.124,137.0278,152.085,-1.5297017822265673,-31.62590178222655,-16.568701782226555,-0.9070075344102372,-18.751976059833762,-9.824096125456427
8323,2003-10-16,2003,vaudj,179.26510620117188,168.245,137.24,152.89625,-11.02010620117187,-42.025106201171866,-26.368856201171866,-6.147379395075957,-23.442992945883823,-14.709419339857838
8324,2003-10-17,2003,vaudj,187.00979614257807,172.018,137.7026,154.08624999999998,-14.991796142578067,-49.30719614257808,-32.92354614257809,-8.01658332975679,-26.3661033590913,-17.60525214276843
8325,2003-10-18,2003,vaudj,207.72720336914065,176.8435,137.908,155.01399999999998,-30.883703369140648,-69.81920336914067,-52.71320336914067,-14.867433281840755,-33.61100627974506,-25.376167643997462
8326,2003-10-19,2003,vaudj,303.74169921875,185.168,138.9486,157.0385,-118.57369921875,-164.79309921875,-146.70319921875,-39.03767560520397,-54.25435481615206,-48.29866942737311
8327,2003-10-20,2003,vaudj,362.6917114257813,187.238,137.1682,155.56425000000002,-175.4537114257813,-225.5235114257813,-207.1274614257813,-48.375440049637014,-62.1804977398638,-57.10840774704784
8328,2003-10-21,2003,vaudj,418.9908142089844,190.846,136.1854,154.78525,-228.14481420898437,-282.8054142089844,-264.20556420898436,-54.45103006367825,-67.49680532803438,-63.057602994896165
8329,2003-10-22,2003,vaudj,433.68701171875,201.8305,138.292,157.82325,-231.85651171875,-295.39501171874997,-275.86376171874997,-53.46171442854071,-68.11248751676159,-63.60895167818633
8330,2003-10-23,2003,vaudj,498.1164855957031,209.008,139.15640000000002,159.20525,-289.1084855957031,-358.9600855957031,-338.91123559570315,-58.04033673969955,-72.06348233313715,-68.03855029820893
8331,2003-10-24,2003,vaudj,509.00579833984375,213.0415,139.2546,159.2995,-295.9642983398437,-369.75119833984377,-349.7062983398438,-58.14556519889379,-72.64184407050212,-68.70379462875161
8332,2003-10-25,2003,vaudj,486.5306091308594,220.68,141.9972,161.452,-265.85060913085937,-344.53340913085935,-325.0786091308594,-54.64211380364663,-70.81433370581462,-66.81565415001974
8333,2003-10-26,2003,vaudj,445.9655151367188,226.27,145.151,162.79125,-219.6955151367188,-300.8145151367188,-283.1742651367188,-49.26289313409517,-67.45241614578622,-63.49689729931397
8334,2003-10-27,2003,vaudj,423.1882019042969,235.385,150.238,166.08200000000002,-187.80320190429688,-272.9502019042969,-257.1062019042969,-44.37817525611647,-64.4985376898631,-60.75457698190766
8335,2003-10-28,2003,vaudj,392.3620910644531,240.238,153.4776,167.41325,-152.12409106445313,-238.88449106445313,-224.94884106445312,-38.77135292345656,-60.88368282888259,-57.33195081466239
8336,2003-10-29,2003,vaudj,387.4476013183594,238.9335,153.513,165.81775000000002,-148.51410131835937,-233.93460131835937,-221.62985131835936,-38.33140295952633,-60.37838420533649,-57.20253540458745
8337,2003-10-30,2003,vaudj,404.5386047363281,233.0845,150.93519999999998,162.06974999999997,-171.45410473632813,-253.60340473632814,-242.46885473632815,-42.38263115780488,-62.68954353605457,-59.93713625782774
8338,2003-10-31,2003,vaudj,398.1301879882813,224.206,146.60899999999998,156.9065,-173.92418798828132,-251.52118798828133,-241.2236879882813,-43.68525503356221,-63.17561329855366,-60.589147787854145
8339,2003-11-01,2003,vaudj,382.6593933105469,211.2155,140.42059999999998,149.8835,-171.44389331054688,-242.2387933105469,-232.77589331054688,-44.80326272074856,-63.304023772900884,-60.83109349458405
8340,2003-11-02,2003,vaudj,460.4368896484375,196.0485,133.221,141.8415,-264.3883896484375,-327.2158896484375,-318.5953896484375,-57.42120051464793,-71.06639302908164,-69.19414947218895
8341,2003-11-03,2003,vaudj,495.576904296875,182.772,126.7712,134.83675,-312.804904296875,-368.805704296875,-360.740154296875,-63.11934668155751,-74.41946973298461,-72.79196249241951
8342,2003-11-04,2003,vaudj,495.6514892578125,181.2405,125.4378,134.27249999999998,-314.4109892578125,-370.2136892578125,-361.3789892578125,-63.43388370094698,-74.69233872618233,-72.90989679037193
8343,2003-11-05,2003,vaudj,466.3410034179688,181.744,125.22620000000002,135.12875000000005,-284.59700341796884,-341.1148034179688,-331.2122534179688,-61.02766030266745,-73.14707497685697,-71.02361812287654
8344,2003-11-06,2003,vaudj,442.1723937988281,180.5885,124.64920000000002,135.52450000000002,-261.5838937988281,-317.5231937988281,-306.64789379882814,-59.15880264515992,-71.80981858023667,-69.3503027550701
8345,2003-11-07,2003,vaudj,439.43011474609375,194.1065,130.04919999999998,143.36099999999996,-245.32361474609374,-309.38091474609377,-296.06911474609376,-55.82767464351953,-70.40503241905861,-67.37569975538997
8346,2003-11-08,2003,vaudj,445.3482971191406,201.5775,132.995,148.0595,-243.77079711914064,-312.3532971191406,-297.2887971191406,-54.73711220993543,-70.13685673430994,-66.75422338925195
8347,2003-11-09,2003,vaudj,448.126708984375,204.664,133.97840000000002,150.24,-243.462708984375,-314.148308984375,-297.886708984375,-54.32898867736623,-70.10256311130263,-66.47376802411515
8348,2003-11-10,2003,vaudj,442.8623962402344,205.1215,137.0236,150.93325,-237.74089624023438,-305.8387962402344,-291.9291462402344,-53.68279137234986,-69.05955412713108,-65.91870267573474
8349,2003-11-11,2003,vaudj,429.7702941894531,202.7215,143.01360000000005,149.99900000000002,-227.04879418945313,-286.75669418945307,-279.7712941894531,-52.83026706572803,-66.72324682893131,-65.09786692379514
8350,2003-11-12,2003,vaudj,411.0911865234375,198.318,149.01659999999998,147.8825,-212.7731865234375,-262.0745865234375,-263.2086865234375,-51.75814843486231,-63.7509621015667,-64.02683763409539
8351,2003-11-13,2003,vaudj,389.0791931152344,193.3515,153.3658,145.33100000000002,-195.7276931152344,-235.71339311523437,-243.74819311523436,-50.30536111378881,-60.58236916447564,-62.6474500380294
8352,2003-11-14,2003,vaudj,365.9678955078125,186.8635,159.51640000000003,141.89600000000002,-179.1043955078125,-206.45149550781247,-224.07189550781248,-48.93992006028001,-56.41246077646864,-61.22720005176768
8353,2003-11-15,2003,vaudj,343.5469970703125,178.89249999999998,161.2824,136.29274999999998,-164.65449707031252,-182.2645970703125,-207.25424707031252,-47.92779400619045,-53.05375934722814,-60.327771407617504
8354,2003-11-16,2003,vaudj,322.3794860839844,171.0865,157.45479999999998,128.4175,-151.29298608398437,-164.9246860839844,-193.96198608398439,-46.93009096880638,-51.15855480984891,-60.165734625389454
8355,2003-11-17,2003,vaudj,304.4884948730469,164.9435,151.4616,121.06525,-139.54499487304687,-153.02689487304687,-183.42324487304688,-45.82931612284025,-50.257036784542464,-60.23979492214416
8356,2003-11-18,2003,vaudj,289.5617980957031,160.8155,147.5298,117.9485,-128.74629809570314,-142.03199809570313,-171.61329809570313,-44.46245980733659,-49.05066864129643,-59.266553538593236
8357,2003-11-19,2003,vaudj,276.6077880859375,157.6835,146.339,119.5095,-118.92428808593749,-130.2687880859375,-157.0982880859375,-42.993832136421865,-47.0951266366604,-56.79460046046485
8358,2003-11-20,2003,vaudj,265.131591796875,160.4965,150.64,125.82175,-104.635091796875,-114.49159179687501,-139.309841796875,-39.46534288416259,-43.182930793321056,-52.54365986819266
8359,2003-11-21,2003,vaudj,254.75979614257807,165.4735,156.20700000000002,133.21125,-89.28629614257807,-98.55279614257805,-121.54854614257806,-35.04724744425858,-38.68459530695428,-47.711039176115754
8360,2003-11-22,2003,vaudj,244.87890625,168.4755,160.0806,137.60125,-76.40340624999999,-84.79830625,-107.27765625,-31.200484933560908,-34.62866914450701,-43.80845124343984
8361,2003-11-23,2003,vaudj,235.3115997314453,168.2545,160.5306,138.49475,-67.0570997314453,-74.78099973144532,-96.8168497314453,-28.497150080138734,-31.779563700553147,-41.14410417588412
8362,2003-11-24,2003,vaudj,226.59620666503903,166.1045,159.14499999999998,137.522,-60.49170666503903,-67.45120666503905,-89.07420666503904,-26.695816119490296,-29.767138496165273,-39.30966364177097
8363,2003-11-25,2003,vaudj,218.8430938720703,162.30100000000002,161.2792,138.23725,-56.542093872070296,-57.56389387207031,-80.60584387207032,-25.836818915164518,-26.30372878283314,-36.832710800181935
8364,2003-11-26,2003,vaudj,228.7987060546875,163.327,165.5288,142.835,-65.4717060546875,-63.26990605468751,-85.96370605468749,-28.615417973141177,-27.653087355994366,-37.57176233074519
8365,2003-11-27,2003,vaudj,265.6366882324219,165.3775,171.00799999999998,149.70225,-100.25918823242188,-94.6286882324219,-115.93443823242188,-37.74297477489215,-35.6233503971505,-43.64398570237546
8366,2003-11-28,2003,vaudj,351.351806640625,167.67,178.0376,159.28575,-183.681806640625,-173.314206640625,-192.066056640625,-52.278600300040935,-49.32782566218505,-54.66488374630073
8367,2003-11-29,2003,vaudj,440.72021484375,170.041,191.2346,177.1515,-270.67921484375,-249.48561484375,-263.56871484375,-61.417472066652266,-56.60861617890638,-59.80409020657106
8368,2003-11-30,2003,vaudj,511.4802856445313,171.0625,201.4292,191.49975,-340.4177856445313,-310.0510856445313,-319.9805356445313,-66.55540696266736,-60.618384392631455,-62.55970066203322
8369,2003-12-01,2003,vaudj,555.2459716796875,170.35500000000002,209.2372,202.89125,-384.8909716796875,-346.00877167968747,-352.3547216796875,-69.31900298445117,-62.31630472400697,-63.459212610542856
8370,2003-12-02,2003,vaudj,572.6967163085938,167.753,211.9684,207.845,-404.94371630859376,-360.7283163085938,-364.8517163085937,-70.70823086235272,-62.98766974494363,-63.70766688873345
8371,2003-12-03,2003,vaudj,568.4072875976562,163.8265,210.4436,207.35675,-404.58078759765624,-357.96368759765625,-361.0505375976562,-71.17797333450736,-62.97661824685097,-63.519688342423876
8372,2003-12-04,2003,vaudj,548.6203002929688,159.90699999999998,205.9998,203.04125,-388.71330029296877,-342.62050029296876,-345.57905029296876,-70.85288314803371,-62.451298304128734,-62.99056927139336
8373,2003-12-05,2003,vaudj,518.8114013671875,162.549,202.773,199.9805,-356.2624013671875,-316.0384013671875,-318.8309013671875,-68.66896148163939,-60.915855074571134,-61.454104618170426
8374,2003-12-06,2003,vaudj,484.5137023925781,168.80200000000002,200.5572,198.0885,-315.7117023925781,-283.95650239257816,-286.4252023925781,-65.16053123648753,-58.60649574828781,-59.11601694197321
8375,2003-12-07,2003,vaudj,452.3941955566406,182.155,201.319,199.80575,-270.23919555664065,-251.07519555664064,-252.58844555664064,-59.73533661813002,-55.499207996625486,-55.83370609913497
8376,2003-12-08,2003,vaudj,419.3215026855469,191.586,201.56160000000003,201.105,-227.73550268554686,-217.75990268554685,-218.21650268554689,-54.310475667718826,-51.93148963048695,-52.04037982502163
8377,2003-12-09,2003,vaudj,387.1964111328125,198.26,201.324,201.96875,-188.9364111328125,-185.8724111328125,-185.2276611328125,-48.796013005400845,-48.00468335669988,-47.8381658008905
8378,2003-12-10,2003,vaudj,357.7044982910156,209.4095,203.4226,205.80425,-148.29499829101562,-154.28189829101564,-151.90024829101563,-41.45740380663821,-43.13110375410973,-42.46528881150245
8379,2003-12-11,2003,vaudj,331.6702880859375,215.3165,203.6662,207.307,-116.35378808593751,-128.0040880859375,-124.36328808593751,-35.08116110050522,-38.59377601311426,-37.496059355703984
8380,2003-12-12,2003,vaudj,311.6166076660156,215.85450000000003,201.6692,205.93825,-95.7621076660156,-109.94740766601564,-105.67835766601561,-30.730745830033385,-35.2829101406094,-33.91294143708783
8381,2003-12-13,2003,vaudj,295.53570556640625,215.6415,199.28180000000003,203.978,-79.89420556640624,-96.25390556640622,-91.55770556640624,-27.033689690146147,-32.56929831267991,-30.980251740117886
8382,2003-12-14,2003,vaudj,282.42388916015625,213.277,196.1202,200.95775,-69.14688916015626,-86.30368916015624,-81.46613916015625,-24.483371206939445,-30.558211423544044,-28.84534286473147
8383,2003-12-15,2003,vaudj,272.91070556640625,208.4075,192.1834,196.882,-64.50320556640625,-80.72730556640624,-76.02870556640624,-23.635278591411264,-29.58011683670035,-27.85845480433397
8384,2003-12-16,2003,vaudj,265.9100036621094,204.4675,188.8964,193.52375,-61.442503662109374,-77.01360366210938,-72.38625366210937,-23.106503258968804,-28.962281449166618,-27.222087422513912
8385,2003-12-17,2003,vaudj,259.9717102050781,199.3595,185.5614,190.014,-60.61221020507813,-74.41031020507813,-69.95771020507811,-23.314925365250055,-28.62246440059948,-26.909739582776957
8386,2003-12-18,2003,vaudj,254.4552001953125,193.642,182.3182,186.556,-60.813200195312504,-72.13700019531251,-67.89920019531249,-23.899374093606276,-28.3495877230814,-26.684147206736203
8387,2003-12-19,2003,vaudj,248.65870666503903,188.1605,179.31300000000002,183.34375000000003,-60.49820666503902,-69.34570666503902,-65.314956665039,-24.32981634804946,-27.88790611641547,-26.266909186905284
8388,2003-12-20,2003,vaudj,242.272201538086,183.124,176.5024,180.31875,-59.148201538086,-65.769801538086,-61.953451538086,-24.413944795390695,-27.1470689251762,-25.571836613845566
8389,2003-12-21,2003,vaudj,235.5428924560547,178.37099999999998,173.7846,177.3555,-57.17189245605471,-61.758292456054676,-58.18739245605468,-24.272391265943753,-26.21955254607266,-24.70352293347621
8390,2003-12-22,2003,vaudj,260.49090576171875,175.0055,171.5072,174.89475000000002,-85.48540576171874,-88.98370576171874,-85.59615576171873,-32.81704039215695,-34.160004742398044,-32.859556271809694
8391,2003-12-23,2003,vaudj,267.58770751953125,171.6635,169.57260000000002,172.82425,-95.92420751953125,-98.01510751953123,-94.76345751953124,-35.84776311614753,-36.6291517753584,-35.41398011065753
8392,2003-12-24,2003,vaudj,271.9245910644531,168.85000000000002,167.5716,170.63925,-103.0745910644531,-104.35299106445314,-101.28534106445312,-37.90557913904218,-38.37570947738184,-37.24758421736337
8393,2003-12-25,2003,vaudj,272.3221130371094,167.137,166.0116,168.97674999999998,-105.18511303710937,-106.31051303710939,-103.3453630371094,-38.62525590155647,-39.03851650219181,-37.94967727171921
8394,2003-12-26,2003,vaudj,268.8277893066406,165.734,164.52980000000002,167.3625,-103.09378930664062,-104.2979893066406,-101.46528930664061,-38.34937956843659,-38.79732433006479,-37.7436014216906
8395,2003-12-27,2003,vaudj,263.22320556640625,164.4765,163.1568,165.8705,-98.74670556640626,-100.06640556640625,-97.35270556640626,-37.51443773884682,-38.01579931035426,-36.984849172747424
8396,2003-12-28,2003,vaudj,256.8409118652344,163.587,162.0932,164.7475,-93.25391186523439,-94.74771186523438,-92.09341186523437,-36.30804422395337,-36.8896493853553,-35.85620810813669
8397,2003-12-29,2003,vaudj,251.3325958251953,163.24450000000002,162.8648,163.7605,-88.0880958251953,-88.46779582519531,-87.5720958251953,-35.04841683426593,-35.19949154813396,-34.84311119203284
8398,2003-12-30,2003,vaudj,246.6098022460937,174.086,167.70520000000002,168.38575000000003,-72.52380224609368,-78.90460224609367,-78.22405224609366,-29.408320993551445,-31.995728283077007,-31.71976601645109
8399,2003-12-31,2003,vaudj,242.4178009033203,185.4945,172.2174,173.341,-56.923300903320325,-70.20040090332031,-69.0768009033203,-23.48148555560165,-28.95843483512056,-28.49493751940647
8400,2004-01-01,2004,vaudj,239.1676025390625,189.236,173.65659999999997,174.48149999999998,-49.93160253906251,-65.51100253906253,-64.68610253906252,-20.877243409632516,-27.391252763159184,-27.046348189444906
8401,2004-01-02,2004,vaudj,235.97569274902344,191.316,174.38920000000002,174.8865,-44.659692749023435,-61.58649274902342,-61.089192749023425,-18.925547893834185,-26.098659582927862,-25.887917538183064
8402,2004-01-03,2004,vaudj,232.83189392089844,195.9795,178.0184,179.21775,-36.852393920898436,-54.81349392089842,-53.61414392089844,-15.82789767342551,-23.542089959342334,-23.026975822785317
8403,2004-01-04,2004,vaudj,228.84230041503903,198.217,179.8038,181.5735,-30.62530041503902,-49.03850041503904,-47.26880041503904,-13.38270956003132,-21.428949248500185,-20.655621941096616
8404,2004-01-05,2004,vaudj,223.947998046875,197.5685,179.511,181.46125,-26.379498046875,-44.436998046875004,-42.48674804687499,-11.779296210253888,-19.84255203637668,-18.97170254586603
8405,2004-01-06,2004,vaudj,218.397705078125,198.105,178.4136,180.39625,-20.29270507812501,-39.984105078125,-38.00145507812499,-9.291629264541001,-18.307932798021813,-17.400116482236456
8406,2004-01-07,2004,vaudj,212.3168029785156,203.4605,178.2822,180.5015,-8.8563029785156,-34.03460297851561,-31.815302978515604,-4.171268055223953,-16.03010336490399,-14.984825756694823
8407,2004-01-08,2004,vaudj,205.8058013916016,207.0465,178.169,180.7445,1.240698608398418,-27.63680139160158,-25.061301391601603,0.6028491908435812,-13.428582287150903,-12.177159838130924
8408,2004-01-09,2004,vaudj,201.50750732421875,209.2585,178.7,181.5405,7.750992675781248,-22.80750732421876,-19.96700732421874,3.846503179313396,-11.318440502329402,-9.908815601640342
8409,2004-01-10,2004,vaudj,199.0847930908203,229.726,186.5806,191.5765,30.641206909179687,-12.504193090820308,-7.5082930908203025,15.39103335491903,-6.280837876510252,-3.7714046232527165
8410,2004-01-11,2004,vaudj,192.1313934326172,243.1075,192.4158,199.2345,50.9761065673828,0.2844065673828027,7.1031065673828095,26.531898643237987,0.14802711951524336,3.697004659404583
8411,2004-01-12,2004,vaudj,184.44869995117188,258.8235,200.2996,209.4535,74.37480004882815,15.850900048828123,25.004800048828116,40.32275644583941,8.593663199048976,13.556506527531775
8412,2004-01-13,2004,vaudj,186.309799194336,278.5305,212.649,224.861,92.22070080566402,26.339200805664007,38.551200805663996,49.49857774763123,14.13731372131968,20.691987738901492
8413,2004-01-14,2004,vaudj,186.40060424804688,299.026,223.515,238.7665,112.62539575195314,37.11439575195311,52.36589575195313,60.421153786647785,19.911091974017566,28.093200643421106
8414,2004-01-15,2004,vaudj,206.7637939453125,316.527,234.1334,252.362,109.76320605468749,27.369606054687495,45.598206054687495,53.08627973992345,13.237136701953997,22.05328369373406
8415,2004-01-16,2004,vaudj,209.58560180664065,329.117,241.778,262.27475,119.53139819335937,32.19239819335934,52.68914819335933,57.032256587757665,15.360023740113302,25.139679319178253
8416,2004-01-17,2004,vaudj,217.8874969482422,335.604,246.0012,267.73725,117.7165030517578,28.113703051757824,49.84975305175783,54.02627718456034,12.902852823370612,22.878666169449517
8417,2004-01-18,2004,vaudj,238.06329345703125,336.1,246.06759999999997,267.80724999999995,98.03670654296877,8.00430654296872,29.743956542968704,41.180941891263764,3.362259853980152,12.494138055070334
8418,2004-01-19,2004,vaudj,274.60791015625,342.307,247.3566,269.27675,67.69908984375002,-27.251310156250014,-5.331160156250007,24.653000638339115,-9.92371637828794,-1.941371664500347
8419,2004-01-20,2004,vaudj,326.8432922363281,340.3885,245.8068,267.16375,13.545207763671897,-81.03649223632812,-59.67954223632813,4.144251415102582,-24.793683750356323,-18.259374952439316
8420,2004-01-21,2004,vaudj,361.3382873535156,329.5485,240.8902,260.85575,-31.789787353515635,-120.44808735351563,-100.48253735351562,-8.797791008073846,-33.333884498012004,-27.808439036300754
8421,2004-01-22,2004,vaudj,378.623291015625,320.6375,236.5994,255.34675,-57.98579101562501,-142.023891015625,-123.27654101562501,-15.314903333094756,-37.510606026020724,-32.55915416216105
8422,2004-01-23,2004,vaudj,389.34759521484375,307.253,231.2426,248.46525,-82.09459521484376,-158.10499521484374,-140.88234521484375,-21.0851681694717,-40.60767220806917,-36.18420839021857
8423,2004-01-24,2004,vaudj,393.5361022949219,294.646,226.3316,242.35325,-98.89010229492186,-167.20450229492187,-151.18285229492187,-25.128597279446584,-42.487716201858476,-38.416514117330756
8424,2004-01-25,2004,vaudj,390.1571960449219,283.433,222.0756,237.11375,-106.72419604492188,-168.08159604492187,-153.04344604492186,-27.354152922668096,-43.08048082895524,-39.22609850499868
8425,2004-01-26,2004,vaudj,379.6431884765625,273.4885,218.4642,232.5505,-106.15468847656251,-161.1789884765625,-147.0926884765625,-27.961699748266668,-42.45538794554534,-38.74498290534807
8426,2004-01-27,2004,vaudj,389.710693359375,264.51800000000003,214.9348,227.99075,-125.19269335937497,-174.775893359375,-161.719943359375,-32.12452095686466,-44.84760011401687,-41.49743543481462
