scenario,catchment,week,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055
RCP85,MKCWTCT2BD,42,1.26,0.162,0.376,0.797,0.897,0.629,0.238,0.309,0.215,0.423,0.471,0.204,0.366,0.625,0.216,0.245,0.414,0.456,0.199,0.353,0.24,0.214,0.374,0.13,0.13,0.347,0.346,0.145,0.919,0.403,0.244,0.589,0.312,0.669,0.292,0.428
RCP85,MKCWTCT2BD,43,1.171,0.282,0.34,0.421,0.725,0.217,0.607,0.216,1.088,0.291,0.355,0.291,0.777,0.533,0.213,0.152,0.226,0.434,0.116,0.356,0.229,0.174,0.624,0.087,0.095,0.24,0.478,0.214,0.918,0.354,0.197,0.246,0.395,0.463,0.176,0.413
RCP85,MKCWTCT2BD,44,0.483,0.311,0.263,0.604,0.367,0.194,0.484,0.782,0.77,0.246,0.23,0.707,0.417,0.556,0.385,0.213,0.168,0.235,0.078,0.539,0.546,0.386,0.913,0.082,0.242,0.257,0.499,0.457,0.413,0.28,0.135,1.103,0.347,0.481,0.305,0.497
RCP85,MKCWTCT2BD,45,0.387,0.313,0.424,0.731,0.294,0.218,0.352,0.878,0.716,0.315,0.493,0.842,0.591,0.627,0.322,0.357,0.246,0.254,0.249,0.363,0.328,0.264,0.488,0.482,0.468,0.946,0.57,0.854,0.473,0.245,0.274,0.83,0.475,0.826,0.443,1.298
RCP85,MKCWTCT2BD,46,0.734,0.49,0.772,1.037,0.39,0.301,0.267,0.887,0.505,0.574,0.425,0.822,0.421,0.446,0.629,0.41,0.289,0.27,0.318,0.432,0.896,0.353,0.247,0.799,0.43,0.92,0.367,0.727,0.364,0.367,0.646,0.428,0.361,0.844,0.421,0.485
RCP85,MKCWTCT2BD,47,0.527,0.358,0.572,0.659,0.456,0.571,0.358,0.695,0.596,1.413,0.265,0.615,0.612,0.547,0.724,0.437,0.22,0.316,0.474,0.666,1.171,0.465,0.795,0.435,0.304,0.734,0.356,1.146,0.228,0.493,0.548,0.488,0.541,0.767,0.357,0.76
RCP85,MKCWTCT2BD,48,0.511,0.217,0.64,0.484,0.492,0.572,0.385,0.719,1.054,1.126,0.25,0.537,0.733,0.812,0.503,0.52,0.441,0.474,0.55,0.364,0.918,0.562,0.973,0.646,0.434,0.445,0.484,1.872,0.469,0.376,0.409,0.435,0.58,0.544,0.697,0.675
RCP85,MKCWTCT2BD,49,0.385,0.275,0.364,0.474,0.305,0.338,0.418,0.616,0.535,0.858,0.464,0.402,0.468,0.646,0.321,0.281,1.112,0.293,0.414,0.39,1.416,0.558,0.855,1.076,0.42,0.869,0.887,1.425,1.022,0.39,0.512,0.391,0.939,0.508,0.667,0.547
RCP85,MKCWTCT2BD,50,0.429,0.741,0.418,0.454,0.233,0.225,0.406,0.644,0.303,0.418,0.643,0.398,0.343,0.682,0.303,0.209,1.086,0.35,0.333,0.31,1.659,0.722,0.678,0.664,0.641,0.518,0.501,0.894,0.521,0.263,0.52,0.659,1.014,0.602,0.581,0.376
RCP85,MKCWTCT2BD,51,0.54,0.461,0.351,0.347,0.323,0.36,0.474,0.66,0.26,0.254,1.047,0.394,0.353,0.666,0.327,0.17,0.666,0.359,0.383,0.462,0.682,0.535,0.373,0.758,0.373,0.459,0.353,0.751,0.382,0.341,0.494,0.607,0.642,0.722,0.608,0.274
RCP85,MKCWTCT2BD,52,0.761,0.356,0.296,0.284,0.509,0.265,0.493,0.526,0.372,0.18,0.837,0.779,0.481,0.533,0.298,0.161,0.653,0.26,0.26,0.317,0.362,0.55,0.321,1.042,0.363,0.644,0.497,1.203,0.304,0.496,0.675,0.422,0.301,0.47,0.622,0.251
